age,mean,sigma
0,3.248943,0.106742
0.1,3.248252,0.10463
0.2,3.248081,0.102932
0.3,3.248746,0.101767
0.4,3.249912,0.100772
0.5,3.251762,0.100364
0.6,3.253754,0.100444
0.7,3.255479,0.100597
0.8,3.256041,0.100811
0.9,3.255658,0.100698
1,3.253522,0.100549
1.1,3.249911,0.100416
1.2,3.245328,0.099988
1.3,3.2405,0.099224
1.4,3.236,0.097908
1.5,3.232356,0.096363
1.6,3.229979,0.094826
1.7,3.228586,0.093178
1.8,3.228035,0.091499
1.9,3.227491,0.089554
2,3.227025,0.087704
2.1,3.226296,0.086213
2.2,3.225013,0.084941
2.3,3.223387,0.083981
2.4,3.221737,0.083008
2.5,3.219997,0.082398
2.6,3.218376,0.082101
2.7,3.217386,0.081926
2.8,3.216688,0.081786
2.9,3.216403,0.081256
3,3.216743,0.080956
3.1,3.217019,0.081015
3.2,3.216864,0.081189
3.3,3.216429,0.081545
3.4,3.215611,0.081828
3.5,3.214235,0.082398
3.6,3.212762,0.083394
3.7,3.211056,0.084677
3.8,3.209396,0.086323
3.9,3.2079,0.088035
4,3.206846,0.090214
4.1,3.206394,0.092945
4.2,3.207063,0.09589
4.3,3.208681,0.099004
4.4,3.210971,0.101933
4.5,3.214048,0.104906
4.6,3.217931,0.107801
4.7,3.222137,0.110457
4.8,3.226386,0.112741
4.9,3.230373,0.114471
5,3.233984,0.115894
5.1,3.237395,0.117134
5.2,3.240415,0.118117
5.3,3.243164,0.118963
5.4,3.245571,0.119507
5.5,3.247556,0.120007
5.6,3.248782,0.120545
5.7,3.249698,0.12099
5.8,3.2502,0.121359
5.9,3.250587,0.121434
6,3.250799,0.121477
6.1,3.250905,0.121523
6.2,3.250784,0.121451
6.3,3.250839,0.121236
6.4,3.251399,0.120685
6.5,3.252733,0.120003
6.6,3.254966,0.119167
6.7,3.258058,0.118175
6.8,3.261796,0.117152
6.9,3.265763,0.11603
7,3.27006,0.115207
7.1,3.274542,0.114749
7.2,3.278965,0.114757
7.3,3.283282,0.115393
7.4,3.287297,0.116497
7.5,3.290839,0.11841
7.6,3.293909,0.121251
7.7,3.296866,0.124783
7.8,3.300269,0.128863
7.9,3.304218,0.133154
8,3.309455,0.137655
8.1,3.316365,0.142183
8.2,3.324832,0.146395
8.3,3.3345,0.150199
8.4,3.344618,0.15327
8.5,3.355457,0.155653
8.6,3.366755,0.157204
8.7,3.377911,0.157947
8.8,3.388341,0.157857
8.9,3.398386,0.156974
9,3.407348,0.155537
9.1,3.415159,0.153871
9.2,3.421666,0.152133
9.3,3.426957,0.150514
9.4,3.431738,0.149091
9.5,3.435875,0.148158
9.6,3.439756,0.147814
9.7,3.443804,0.147928
9.8,3.448461,0.148394
9.9,3.45353,0.148954
10,3.459477,0.149636
10.1,3.466097,0.150316
10.2,3.473797,0.150694
10.3,3.482662,0.150756
10.4,3.492222,0.150411
10.5,3.502809,0.149729
10.6,3.514489,0.148744
10.7,3.526773,0.147353
10.8,3.539744,0.145521
10.9,3.552938,0.143198
11,3.566453,0.140781
11.1,3.579925,0.138678
11.2,3.59339,0.137345
11.3,3.606462,0.13729
11.4,3.619129,0.138612
11.5,3.631315,0.141564
11.6,3.643935,0.145939
11.7,3.65716,0.151404
11.8,3.671459,0.157669
11.9,3.687274,0.164252
12,3.706548,0.170997
12.1,3.729726,0.17759
12.2,3.756171,0.18347
12.3,3.785742,0.187887
12.4,3.816866,0.190372
12.5,3.849282,0.190765
12.6,3.881531,0.188976
12.7,3.91253,0.18493
12.8,3.941807,0.179125
12.9,3.969012,0.171863
13,3.992622,0.163834
13.1,4.012485,0.155653
13.2,4.029357,0.147526
13.3,4.043441,0.139675
13.4,4.056233,0.131892
13.5,4.067278,0.124703
13.6,4.077212,0.118782
13.7,4.086871,0.114555
13.8,4.096566,0.112491
13.9,4.106925,0.11241
14,4.118382,0.11443
14.1,4.131325,0.117965
14.2,4.145738,0.122152
14.3,4.16189,0.126465
14.4,4.178896,0.13038
14.5,4.197965,0.134019
14.6,4.218774,0.137398
14.7,4.240747,0.140571
14.8,4.263571,0.143657
14.9,4.286857,0.146069
15,4.310321,0.147324
15.1,4.334386,0.146794
15.2,4.359304,0.144438
15.3,4.385314,0.140863
15.4,4.412346,0.137124
15.5,4.441511,0.134868
15.6,4.472929,0.135078
15.7,4.505774,0.1376
15.8,4.53993,0.140426
15.9,4.574305,0.141269
16,4.608474,0.140232
16.1,4.641972,0.13857
16.2,4.674609,0.137332
16.3,4.705912,0.137335
16.4,4.736273,0.138234
16.5,4.765144,0.139841
16.6,4.792632,0.141627
16.7,4.818565,0.143012
16.8,4.842881,0.143774
16.9,4.866171,0.143429
17,4.887606,0.141929
17.1,4.906366,0.139111
17.2,4.922827,0.135091
17.3,4.936586,0.130888
17.4,4.94868,0.127786
17.5,4.957935,0.127014
17.6,4.964632,0.128439
17.7,4.970413,0.130634
17.8,4.976066,0.132064
17.9,4.982417,0.131724
18,4.990417,0.130452
18.1,5.000439,0.129416
18.2,5.011284,0.129307
18.3,5.022523,0.129626
18.4,5.032947,0.128588
18.5,5.04043,0.125058
18.6,5.043731,0.119243
18.7,5.043707,0.112849
18.8,5.04028,0.107395
18.9,5.035159,0.10337
19,5.028589,0.101563
19.1,5.021326,0.10187
19.2,5.014693,0.10333
19.3,5.009057,0.105316
19.4,5.004504,0.106934
19.5,5.001668,0.108099
19.6,5.000949,0.108801
19.7,5.001083,0.109012
19.8,5.00192,0.108916
19.9,5.002813,0.108527
20,5.003375,0.108259
20.1,5.003182,0.108183
20.2,5.002253,0.108108
20.3,5.000778,0.10795
20.4,4.999057,0.107325
20.5,4.996991,0.106489
20.6,4.994383,0.105463
20.7,4.991647,0.104095
20.8,4.988748,0.102405
20.9,4.985655,0.100106
21,4.982621,0.097644
21.1,4.979805,0.09524
21.2,4.977103,0.092787
21.3,4.974181,0.090525
21.4,4.971157,0.088356
21.5,4.96758,0.086991
21.6,4.963455,0.086715
21.7,4.958826,0.087431
21.8,4.953688,0.089228
21.9,4.948206,0.091655
22,4.941741,0.09502
22.1,4.93399,0.099164
22.2,4.925184,0.103598
22.3,4.915309,0.108097
22.4,4.904913,0.112077
22.5,4.894107,0.115781
22.6,4.883224,0.119182
22.7,4.872576,0.12206
22.8,4.862639,0.124439
22.9,4.853342,0.126206
23,4.84517,0.127561
23.1,4.838081,0.12834
23.2,4.831751,0.128296
23.3,4.82599,0.127206
23.4,4.820468,0.124948
23.5,4.81587,0.122149
23.6,4.81315,0.119226
23.7,4.812086,0.116535
23.8,4.813095,0.114256
23.9,4.815799,0.112072
24,4.821339,0.110199
24.1,4.829056,0.108703
24.2,4.838121,0.107325
24.3,4.847768,0.105949
24.4,4.85664,0.104604
24.5,4.863005,0.103739
24.6,4.866093,0.103469
24.7,4.866125,0.103407
24.8,4.863437,0.103283
24.9,4.859837,0.102627
25,4.85541,0.10163
25.1,4.850847,0.100264
25.2,4.846826,0.098643
25.3,4.843211,0.09723
25.4,4.839659,0.096154
25.5,4.836238,0.096375
25.6,4.83261,0.09844
25.7,4.82894,0.102268
25.8,4.82524,0.10762
25.9,4.821813,0.113662
26,4.81905,0.120062
26.1,4.81753,0.12628
26.2,4.816611,0.131784
26.3,4.816273,0.136447
26.4,4.815796,0.139962
26.5,4.813947,0.142546
26.6,4.809226,0.144346
26.7,4.802314,0.145359
26.8,4.792856,0.145589
26.9,4.782072,0.144927
27,4.76977,0.143489
27.1,4.75676,0.141409
27.2,4.743375,0.138431
27.3,4.730397,0.135086
27.4,4.717819,0.131596
27.5,4.706534,0.12832
27.6,4.697572,0.125365
27.7,4.690356,0.122894
27.8,4.684674,0.121085
27.9,4.679784,0.119958
28,4.675761,0.120101
28.1,4.671741,0.121798
28.2,4.667355,0.124853
28.3,4.662604,0.128598
28.4,4.657392,0.131904
28.5,4.650948,0.13409
28.6,4.643072,0.134914
28.7,4.635022,0.13445
28.8,4.626751,0.133102
28.9,4.619141,0.131398
29,4.613942,0.130313
29.1,4.61273,0.129947
29.2,4.614651,0.130111
29.3,4.619857,0.130515
29.4,4.626628,0.130611
29.5,4.635112,0.13017
29.6,4.643935,0.129115
29.7,4.651862,0.127557
29.8,4.658366,0.126047
29.9,4.663414,0.124839
30,4.665695,0.124622
30.1,4.664946,0.125459
30.2,4.662266,0.126924
30.3,4.658027,0.128481
30.4,4.6535,0.12944
30.5,4.649244,0.129469
30.6,4.64643,0.128235
30.7,4.645266,0.125463
30.8,4.646121,0.121497
30.9,4.648051,0.116559
31,4.651456,0.111493
31.1,4.655403,0.107079
31.2,4.659235,0.103574
31.3,4.661866,0.100995
31.4,4.663538,0.099135
31.5,4.663902,0.098202
31.6,4.662243,0.098136
31.7,4.659073,0.098619
31.8,4.655118,0.099254
31.9,4.650894,0.099732
32,4.645601,0.100028
32.1,4.640714,0.10009
32.2,4.636202,0.099553
32.3,4.63234,0.098812
32.4,4.629015,0.097981
32.5,4.627235,0.09751
32.6,4.626486,0.097615
32.7,4.626676,0.098189
32.8,4.62721,0.09935
32.9,4.627487,0.10091
33,4.626341,0.102975
33.1,4.62324,0.105078
33.2,4.618285,0.106524
33.3,4.611574,0.106858
33.4,4.60427,0.105839
33.5,4.596801,0.104056
33.6,4.589689,0.102112
33.7,4.583211,0.10041
33.8,4.577521,0.099431
33.9,4.572284,0.099038
34,4.567731,0.099502
34.1,4.563199,0.100908
34.2,4.558385,0.102858
34.3,4.553242,0.105247
34.4,4.547823,0.108131
34.5,4.54169,0.111704
34.6,4.535576,0.116371
34.7,4.529476,0.122076
34.8,4.523277,0.128781
34.9,4.516511,0.13587
35,4.508523,0.142978
35.1,4.499013,0.149652
35.2,4.488822,0.155303
35.3,4.478358,0.159606
35.4,4.468595,0.162109
35.5,4.46055,0.162674
35.6,4.455236,0.161492
35.7,4.451646,0.1588
35.8,4.449899,0.154879
35.9,4.448943,0.149948
36,4.449166,0.144378
36.1,4.448775,0.138632
36.2,4.447873,0.13305
36.3,4.445775,0.127987
36.4,4.442441,0.123478
36.5,4.437076,0.119858
36.6,4.430127,0.117229
36.7,4.421847,0.115391
36.8,4.412631,0.114252
36.9,4.403392,0.113577
37,4.393774,0.113422
37.1,4.384533,0.113615
37.2,4.375818,0.114329
37.3,4.367673,0.11561
37.4,4.359885,0.117202
37.5,4.353413,0.119102
37.6,4.348886,0.121106
37.7,4.346418,0.123119
37.8,4.345507,0.125369
37.9,4.345885,0.12761
38,4.348789,0.129847
38.1,4.354156,0.132139
38.2,4.361511,0.134466
38.3,4.371312,0.136418
38.4,4.382399,0.137817
38.5,4.395382,0.138655
38.6,4.409963,0.138836
38.7,4.425345,0.138439
38.8,4.441705,0.137238
38.9,4.458231,0.135283
39,4.474748,0.132891
39.1,4.490872,0.130013
39.2,4.50621,0.126754
39.3,4.520839,0.123429
39.4,4.535215,0.120064
39.5,4.548595,0.116916
39.6,4.560757,0.114273
39.7,4.57189,0.112156
39.8,4.581433,0.110664
39.9,4.589606,0.109587
40,4.595715,0.109122
40.1,4.599488,0.109005
40.2,4.60148,0.108974
40.3,4.602031,0.10894
40.4,4.601828,0.108572
40.5,4.600135,0.108104
40.6,4.597098,0.107533
40.7,4.593517,0.106788
