depth	age	error	dR	dSTD	cc
0.22	6.98999977111816	0.0799999982118607	0	0.2	2
0.3	8.21000003814697	0.0799999982118607	0	0.2	2
0.4	9.01000022888184	0.0900000035762787	0	0.2	2
0.73	12.2299995422363	0.129999995231628	0	0.2	2
1	13.0299997329712	0.140000000596046	0	0.2	2
1.1	13.5200004577637	0.159999996423721	0	0.2	2
1.3	14.1599998474121	0.159999996423721	0	0.2	2
1.7	16.1599998474121	0.209999993443489	0	0.2	2
2	18.6900005340576	0.28999999165535	0	0.2	2
2.2	20.2000007629395	0.340000003576279	0	0.2	2
2.4	21.7299995422363	0.430000007152557	0	0.2	2
