depth	age	error	dR	dSTD	cc
0.225	1.1	0.065	0	0.2	2
0.475	1.41	0.025	0	0.2	2
1.005	2.75	0.075	0	0.2	2
1.015	2.41	0.04	0	0.2	2
1.125	2.87	0.08	0	0.2	2
1.145	2.59	0.03	0	0.2	2
1.585	3.22	0.03	0	0.2	2
1.745	3.56	0.03	0	0.2	2
2.325	4.37	0.055	0	0.2	2
2.325	4.45	0.03	0	0.2	2
2.525	5.06	0.065	0	0.2	2
2.605	4.71	0.04	0	0.2	2
2.605	4.79	0.03	0	0.2	2
2.625	5.07	0.06	0	0.2	2
3.325	6.23	0.075	0	0.2	2
3.345	6.1	0.05	0	0.2	2
3.345	6.11	0.04	0	0.2	2
3.725	6.33	0.065	0	0.2	2
4.305	7.91	0.06	0	0.2	2
4.325	8.21	0.06	0	0.2	2
4.365	8.02	0.05	0	0.2	2
5.025	9.05	0.08	0	0.2	2
5.065	8.99	0.09	0	0.2	2
6.205	9.94	0.065	0	0.2	2
6.225	10.21	0.11	0	0.2	2
6.505	10.43	0.06	0	0.2	2
6.525	10.27	0.11	0	0.2	2
7.225	11.68	0.11	0	0.2	2
7.925	13.49	0.14	0	0.2	2
8.425	14.36	0.154	0	0.2	2
8.525	14.56	0.161	0	0.2	2
8.925	15.91	0.19	0	0.2	2
9.125	16.89	0.22	0	0.2	2
9.225	17.66	0.22	0	0.2	2
9.325	18.45	0.14	0	0.2	2
10.325	24.91	0.59	0	0.2	2
11.025	26.55	0.33	0	0.2	2
11.025	27.24	0.66	0	0.2	2
12.125	31.2	1.1	0	0.2	2
12.725	35.9	2.4	0	0.2	2
