depth	age	error	dR	dSTD	cc
0.06	4.90999984741211	0.0350000001490116	0	0.2	2
0.5	5.92000007629395	0.0299999993294477	0	0.2	2
0.66	11.1099996566772	0.0299999993294477	0	0.2	2
0.82	12.2200002670288	0.0399999991059303	0	0.2	2
1	12.7600002288818	0.0500000007450581	0	0.2	2
1.5	14.0900001525879	0.0700000002980232	0	0.2	2
2	15.789999961853	0.0599999986588955	0	0.2	2
2.5	17.9799995422363	0.0700000002980232	0	0.2	2
3	19.6399993896484	0.0799999982118607	0	0.2	2
3.5	21.8199996948242	0.0900000035762787	0	0.2	2
4	23.9799995422363	0.119999997317791	0	0.2	2
4.5	26.9300003051758	0.140000000596046	0	0.2	2
5	30.1100006103516	0.180000007152557	0	0.2	2
5.5	31.9500007629395	0.180000007152557	0	0.2	2
6	37.0699996948242	0.319999992847443	0	0.2	2
