depth	age	error	dR	dSTD	cc
0	5.8899998664856	0.0700000002980232	0	0.2	2
0.04	7.01999998092651	0.0350000001490116	0	0.2	2
0.09	8.10000038146973	0.0399999991059303	0	0.2	2
0.14	8.52000045776367	0.0599999986588955	0	0.2	2
0.39	11.7650003433228	0.0500000007450581	0	0.2	2
0.44	12.2049999237061	0.0399999991059303	0	0.2	2
0.49	12.4899997711182	0.0599999986588955	0	0.2	2
0.84	13.4949998855591	0.0450000017881393	0	0.2	2
0.89	13.539999961853	0.0500000007450581	0	0.2	2
1.06	14.2550001144409	0.0350000001490116	0	0.2	2
1.18	14.5100002288818	0.0350000001490116	0	0.2	2
1.26	14.789999961853	0.0599999986588955	0	0.2	2
1.6	17.0400009155273	0.100000001490116	0	0.2	2
1.68	17.7299995422363	0.230000004172325	0	0.2	2
1.72	17.7700004577637	0.0599999986588955	0	0.2	2
1.92	19.3299999237061	0.0799999982118607	0	0.2	2
2	19.6800003051758	0.28999999165535	0	0.2	2
