depth	age	error	dR	dSTD	cc
1.9025	6.11	0.035	0	0.2	2
2.1025	7.05	0.04	0	0.2	2
2.3025	7.65	0.035	0	0.2	2
2.5025	7.93	0.04	0	0.2	2
2.7075	8.415	0.04	0	0.2	2
2.9025	8.885	0.04	0	0.2	2
3.08	9.79	0.04	0	0.2	2
3.18	9.965	0.035	0	0.2	2
3.295	10.215	0.035	0	0.2	2
3.375	10.5	0.045	0	0.2	2
3.42	10.47	0.04	0	0.2	2
3.48	10.66	0.045	0	0.2	2
3.57	10.85	0.04	0	0.2	2
3.67	10.925	0.04	0	0.2	2
3.78	11.17	0.06	0	0.2	2
3.865	11.375	0.04	0	0.2	2
3.895	11.575	0.05	0	0.2	2
3.975	11.855	0.04	0	0.2	2
4.07	12.085	0.04	0	0.2	2
4.185	12.515	0.04	0	0.2	2
4.275	12.59	0.04	0	0.2	2
4.35	12.91	0.06	0	0.2	2
4.41	12.785	0.045	0	0.2	2
4.55	12.8	0.04	0	0.2	2
4.66	12.98	0.04	0	0.2	2
4.75	12.805	0.04	0	0.2	2
4.85	13.1	0.06	0	0.2	2
4.95	13.145	0.05	0	0.2	2
5.05	13.33	0.06	0	0.2	2
5.15	13.61	0.08	0	0.2	2
5.25	13.805	0.045	0	0.2	2
5.35	13.86	0.05	0	0.2	2
5.45	14.16	0.06	0	0.2	2
5.54	14.16	0.07	0	0.2	2
5.64	14.31	0.06	0	0.2	2
5.65	14.47	0.06	0	0.2	2
5.74	14.48	0.07	0	0.2	2
5.95	14.87	0.1	0	0.2	2
6.04	15.14	0.07	0	0.2	2
6.14	15.46	0.08	0	0.2	2
6.5	16.345	0.05	0	0.2	2
