depth	age	error	dR	dSTD	cc
0.005	1.14	0.09	0	0.2	2
0.195	1.82	0.03	0	0.2	2
0.25	2.06	0.06	0	0.2	2
0.45	2.55	0.06	0	0.2	2
0.555	2.785	0.035	0	0.2	2
0.615	3	0.035	0	0.2	2
0.755	3.51	0.04	0	0.2	2
0.85	3.61	0.09	0	0.2	2
0.915	3.925	0.035	0	0.2	2
0.995	4.49	0.08	0	0.2	2
1.05	4.41	0.06	0	0.2	2
1.185	4.46	0.035	0	0.2	2
1.325	4.95	0.04	0	0.2	2
1.45	5.46	0.07	0	0.2	2
1.545	5.53	0.04	0	0.2	2
1.595	5.74	0.12	0	0.2	2
1.65	6.37	0.09	0	0.2	2
1.755	6.51	0.04	0	0.2	2
1.85	6.96	0.06	0	0.2	2
2.05	7.56	0.07	0	0.2	2
2.25	8.18	0.09	0	0.2	2
2.305	8.19	0.04	0	0.2	2
2.45	8.69	0.06	0	0.2	2
2.65	9.17	0.06	0	0.2	2
2.925	9.96	0.05	0	0.2	2
3.05	10.63	0.12	0	0.2	2
3.14	10.65	0.04	0	0.2	2
3.3	11.16	0.04	0	0.2	2
3.45	12.26	0.09	0	0.2	2
3.65	13.13	0.11	0	0.2	2
4.05	14.49	0.11	0	0.2	2
4.51	15.43	0.06	0	0.2	2
5	15.96	0.15	0	0.2	2
5.51	17.94	0.07	0	0.2	2
6.01	19.12	0.07	0	0.2	2
6.52	20.59	0.07	0	0.2	2
7.01	21.06	0.08	0	0.2	2
7.24	22.16	0.14	0	0.2	2
7.83	25.14	0.25	0	0.2	2
8.01	26.13	0.1	0	0.2	2
8.51	28.65	0.12	0	0.2	2
