depth	age	error	dR	dSTD	cc
0	0.79	0.15	0	0.2	2
0.04	1.01	0.15	0	0.2	2
0.1	1.25	0.07	0	0.2	2
0.14	1.45	0.07	0	0.2	2
0.2	1.82	0.055	0	0.2	2
0.3	2.3	0.05	0	0.2	2
0.4	3.09	0.065	0	0.2	2
0.44	3.62	0.075	0	0.2	2
0.48	3.76	0.06	0	0.2	2
0.54	5.3	0.08	0	0.2	2
0.6	7.47	0.06	0	0.2	2
0.7	8.74	0.07	0	0.2	2
0.76	9.96	0.08	0	0.2	2
0.82	11.05	0.085	0	0.2	2
0.9	11.45	0.09	0	0.2	2
1	12.1	0.11	0	0.2	2
1.1	12.4	0.1	0	0.2	2
1.2	13.25	0.095	0	0.2	2
1.3	13.6	0.11	0	0.2	2
1.4	14.1	0.1	0	0.2	2
1.46	14.3	0.1	0	0.2	2
1.52	14.9	0.1	0	0.2	2
1.6	14.9	0.11	0	0.2	2
1.72	15.35	0.11	0	0.2	2
1.8	15.95	0.14	0	0.2	2
1.96	16.65	0.12	0	0.2	2
2	17.1	0.12	0	0.2	2
2.1	17.3	0.12	0	0.2	2
2.2	17.4	0.14	0	0.2	2
2.3	18.6	0.18	0	0.2	2
2.4	18.75	0.14	0	0.2	2
2.6	20	0.18	0	0.2	2
2.7	20.4	0.15	0	0.2	2
2.8	20.7	0.15	0	0.2	2
2.84	21	0.16	0	0.2	2
2.9	21.3	0.16	0	0.2	2
3	22.1	0.17	0	0.2	2
3.1	22.6	0.18	0	0.2	2
3.2	23	0.18	0	0.2	2
3.29	24.1	0.2	0	0.2	2
