depth	age	error	dR	dSTD	cc
0.05	2.01	0.09	0	0.2	2
0.05	2.1	0.1	0	0.2	2
0.1	1.93	0.15	0	0.2	2
0.1	1.81	0.1	0	0.2	2
0.645	5.75	0.12	0	0.2	2
0.65	5.83	0.11	0	0.2	2
0.725	5.99	0.15	0	0.2	2
0.825	7.67	0.14	0	0.2	2
0.875	7.5	0.15	0	0.2	2
0.95	8.25	0.14	0	0.2	2
0.95	8.13	0.14	0	0.2	2
1.025	9.05	0.13	0	0.2	2
1.075	8.93	0.15	0	0.2	2
1.125	9.05	0.16	0	0.2	2
1.175	9.61	0.2	0	0.2	2
1.25	9.52	0.15	0	0.2	2
1.375	10.62	0.1	0	0.2	2
1.55	11.58	0.2	0	0.2	2
1.625	9.82	0.16	0	0.2	2
1.725	11.86	0.19	0	0.2	2
1.875	13.24	0.19	0	0.2	2
1.875	13.22	0.19	0	0.2	2
2.15	13.74	0.19	0	0.2	2
2.475	14.99	0.42	0	0.2	2
2.775	16.17	0.29	0	0.2	2
3.09	16.38	0.59	0	0.2	2
3.095	17.54	0.26	0	0.2	2
3.24	17.02	0.39	0	0.2	2
